y	x1	x2	x3
241	541	641	1923
242	542	642	1926
243	543	643	1929
244	544	644	1932
245	545	645	1935
246	546	646	1938
247	547	647	1941
248	548	648	1944
249	549	649	1947
250	550	650	1950
251	551	651	1953
252	552	652	1956
253	553	653	1959
254	554	654	1962
255	555	655	1965
256	556	656	1968
257	557	657	1971
258	558	658	1974
259	559	659	1977
260	560	660	1980
261	561	661	1983
262	562	662	1986
263	563	663	1989
264	564	664	1992
265	565	665	1995
266	566	666	1998
267	567	667	2001
268	568	668	2004
269	569	669	2007
270	570	670	2010
271	571	671	2013
272	572	672	2016
273	573	673	2019
274	574	674	2022
275	575	675	2025
276	576	676	2028
277	577	677	2031
278	578	678	2034
279	579	679	2037
280	580	680	2040
281	581	681	2043
282	582	682	2046
283	583	683	2049
284	584	684	2052
285	585	685	2055
286	586	686	2058
287	587	687	2061
288	588	688	2064
289	589	689	2067
290	590	690	2070
291	591	691	2073
292	592	692	2076
293	593	693	2079
294	594	694	2082
295	595	695	2085
296	596	696	2088
297	597	697	2091
298	598	698	2094
299	599	699	2097
300	600	700	2100
301	601	701	2103
302	602	702	2106
303	603	703	2109
304	604	704	2112
305	605	705	2115
306	606	706	2118
307	607	707	2121
308	608	708	2124
309	609	709	2127
310	610	710	2130
311	611	711	2133
312	612	712	2136
313	613	713	2139
314	614	714	2142
315	615	715	2145
316	616	716	2148
317	617	717	2151
318	618	718	2154
319	619	719	2157
320	620	720	2160
321	621	721	2163
322	622	722	2166
323	623	723	2169
324	624	724	2172
325	625	725	2175
326	626	726	2178
327	627	727	2181
328	628	728	2184
329	629	729	2187
330	630	730	2190
331	631	731	2193
332	632	732	2196
333	633	733	2199
334	634	734	2202
335	635	735	2205
336	636	736	2208
337	637	737	2211
338	638	738	2214
339	639	739	2217
340	640	740	2220
341	641	741	2223
342	642	742	2226
343	643	743	2229
344	644	744	2232
345	645	745	2235
346	646	746	2238
347	647	747	2241
348	648	748	2244
349	649	749	2247
350	650	750	2250
351	651	751	2253
352	652	752	2256
353	653	753	2259
354	654	754	2262
355	655	755	2265
356	656	756	2268
357	657	757	2271
358	658	758	2274
359	659	759	2277
360	660	760	2280
361	661	761	2283
362	662	762	2286
363	663	763	2289
364	664	764	2292
365	665	765	2295
366	666	766	2298
367	667	767	2301
368	668	768	2304
369	669	769	2307
370	670	770	2310
371	671	771	2313
372	672	772	2316
373	673	773	2319
374	674	774	2322
375	675	775	2325
376	676	776	2328
377	677	777	2331
378	678	778	2334
379	679	779	2337
380	680	780	2340
381	681	781	2343
382	682	782	2346
383	683	783	2349
384	684	784	2352
385	685	785	2355
386	686	786	2358
387	687	787	2361
388	688	788	2364
389	689	789	2367
390	690	790	2370
391	691	791	2373
392	692	792	2376
393	693	793	2379
394	694	794	2382
395	695	795	2385
396	696	796	2388
397	697	797	2391
398	698	798	2394
399	699	799	2397
400	700	800	2400
401	701	801	2403
402	702	802	2406
403	703	803	2409
404	704	804	2412
405	705	805	2415
406	706	806	2418
407	707	807	2421
408	708	808	2424
409	709	809	2427
410	710	810	2430
411	711	811	2433
412	712	812	2436
413	713	813	2439
414	714	814	2442
415	715	815	2445
416	716	816	2448
417	717	817	2451
418	718	818	2454
419	719	819	2457
420	720	820	2460
421	721	821	2463
422	722	822	2466
423	723	823	2469
424	724	824	2472
425	725	825	2475
426	726	826	2478
427	727	827	2481
428	728	828	2484
429	729	829	2487
430	730	830	2490
431	731	831	2493
432	732	832	2496
433	733	833	2499
434	734	834	2502
435	735	835	2505
436	736	836	2508
437	737	837	2511
438	738	838	2514
439	739	839	2517
440	740	840	2520
441	741	841	2523
442	742	842	2526
443	743	843	2529
444	744	844	2532
445	745	845	2535
446	746	846	2538
447	747	847	2541
448	748	848	2544
449	749	849	2547
450	750	850	2550
451	751	851	2553
452	752	852	2556
453	753	853	2559
454	754	854	2562
455	755	855	2565
456	756	856	2568
457	757	857	2571
458	758	858	2574
459	759	859	2577
460	760	860	2580
461	761	861	2583
462	762	862	2586
463	763	863	2589
464	764	864	2592
465	765	865	2595
466	766	866	2598
467	767	867	2601
468	768	868	2604
469	769	869	2607
470	770	870	2610
471	771	871	2613
472	772	872	2616
473	773	873	2619
474	774	874	2622
475	775	875	2625
476	776	876	2628
477	777	877	2631
478	778	878	2634
479	779	879	2637
480	780	880	2640
481	781	881	2643
482	782	882	2646
483	783	883	2649
484	784	884	2652
485	785	885	2655
486	786	886	2658
487	787	887	2661
488	788	888	2664
489	789	889	2667
490	790	890	2670
491	791	891	2673
492	792	892	2676
493	793	893	2679
494	794	894	2682
495	795	895	2685
496	796	896	2688
497	797	897	2691
498	798	898	2694
499	799	899	2697
500	800	900	2700
501	801	901	2703
502	802	902	2706
503	803	903	2709
504	804	904	2712
505	805	905	2715
506	806	906	2718
507	807	907	2721
508	808	908	2724
509	809	909	2727
510	810	910	2730
511	811	911	2733
512	812	912	2736
513	813	913	2739
514	814	914	2742
515	815	915	2745
516	816	916	2748
517	817	917	2751
518	818	918	2754
519	819	919	2757
520	820	920	2760
521	821	921	2763
522	822	922	2766
523	823	923	2769
524	824	924	2772
525	825	925	2775
526	826	926	2778
527	827	927	2781
528	828	928	2784
529	829	929	2787
530	830	930	2790
531	831	931	2793
532	832	932	2796
533	833	933	2799
534	834	934	2802
535	835	935	2805
536	836	936	2808
537	837	937	2811
538	838	938	2814
539	839	939	2817
540	840	940	2820
541	841	941	2823
542	842	942	2826
543	843	943	2829
544	844	944	2832
545	845	945	2835
546	846	946	2838
547	847	947	2841
548	848	948	2844
549	849	949	2847
550	850	950	2850
551	851	951	2853
552	852	952	2856
553	853	953	2859
554	854	954	2862
555	855	955	2865
556	856	956	2868
557	857	957	2871
558	858	958	2874
559	859	959	2877
560	860	960	2880
561	861	961	2883
562	862	962	2886
563	863	963	2889
564	864	964	2892
565	865	965	2895
566	866	966	2898
567	867	967	2901
568	868	968	2904
569	869	969	2907
570	870	970	2910
571	871	971	2913
572	872	972	2916
573	873	973	2919
574	874	974	2922
575	875	975	2925
576	876	976	2928
577	877	977	2931
578	878	978	2934
579	879	979	2937
580	880	980	2940
581	881	981	2943
582	882	982	2946
583	883	983	2949
584	884	984	2952
585	885	985	2955
586	886	986	2958
587	887	987	2961
588	888	988	2964
589	889	989	2967
590	890	990	2970
591	891	991	2973
592	892	992	2976
593	893	993	2979
594	894	994	2982
595	895	995	2985
596	896	996	2988
597	897	997	2991
598	898	998	2994
599	899	999	2997
600	900	1000	3000
